User_ID,Age,Gender,Occupation,Relationship_Status,Primary_Platform,Daily_Usage_Hours,Platforms_Used_Count,Posts_Per_Week,Late_Night_Usage,First_Check_Morning,Notifications_Per_Day,FOMO_Score,Social_Comparison_Score,Validation_Seeking_Score,Scroll_Without_Purpose,Tried_To_Cut_Back,Failed_To_Cut_Back,Anxiety_Score,Depression_Score,Loneliness_Score,Self_Esteem_Score,Sleep_Quality_Score,Sleep_Hours,Productivity_Loss_Score,Offline_Relationship_Quality,Physical_Activity_Hrs_Week,Screen_Free_Time_Hrs,Mental_Wellbeing_Score,Addiction_Level
USR00001,30,MALE,WORKING PROFESSIONAL,IN A RELATIONSHIP,YOUTUBE,2.9,4,3,false,WITHIN 5 MIN,62,4.9,7.4,2.1,10.0,false,false,2.5,3.8,1.7,6.5,8.5,5.3,3.7,3.8,5.8,3.1,7.3,LOW
USR00002,19,MALE,STUDENT,MARRIED,INSTAGRAM,4.8,1,0,true,WITHIN 5 MIN,111,4.2,5.4,7.2,9.0,true,true,4.0,3.2,7.0,7.5,7.8,5.5,4.0,1.8,0.9,3.3,4.1,SEVERE
USR00003,40,MALE,STUDENT,IN A RELATIONSHIP,YOUTUBE,4.4,4,5,false,WITHIN 5 MIN,122,2.7,5.5,5.9,6.1,false,true,7.6,0.0,5.6,5.3,6.3,6.6,5.8,2.8,0.0,1.5,5.6,HIGH
USR00007,38,FEMALE,STUDENT,IN A RELATIONSHIP,FACEBOOK,5.0,4,4,true,WITHIN 5 MIN,24,4.0,4.8,6.0,2.6,false,true,5.3,3.8,7.2,0.5,4.8,8.2,6.8,5.4,3.2,3.7,5.5,HIGH
USR00008,22,FEMALE,UNEMPLOYED,SINGLE,TWITTER/X,3.4,5,2,false,WITHIN 5 MIN,64,6.5,7.5,4.0,4.0,true,false,3.4,6.1,3.1,2.9,3.8,10.0,6.8,6.7,2.9,6.6,6.2,MODERATE
USR00009,43,FEMALE,STUDENT,SINGLE,YOUTUBE,9.2,4,2,false,5-30 MIN,115,6.5,8.2,4.4,8.5,false,true,3.9,2.8,3.8,5.1,3.2,5.7,3.2,5.4,4.8,0.6,3.4,SEVERE
USR00010,40,MALE,STUDENT,SINGLE,INSTAGRAM,6.9,2,5,true,AFTER 30 MIN,62,0.9,6.9,3.8,7.8,false,false,3.7,2.5,3.9,8.1,7.4,5.8,6.4,7.2,4.6,0.0,7.7,LOW
USR00011,29,MALE,FREELANCER,SINGLE,INSTAGRAM,2.8,1,3,true,AFTER 30 MIN,119,5.3,4.5,6.3,2.2,true,false,6.8,4.5,8.1,0.2,8.1,6.0,6.6,7.0,1.0,2.6,7.0,LOW
USR00014,40,MALE,WORKING PROFESSIONAL,IN A RELATIONSHIP,INSTAGRAM,3.7,3,1,true,WITHIN 5 MIN,14,6.8,2.5,3.0,4.9,true,false,5.6,7.8,5.0,2.8,5.2,7.4,6.4,4.2,0.3,3.0,5.1,HIGH
USR00017,41,NON-BINARY,UNEMPLOYED,MARRIED,UNKNOWN,2.4,2,2,false,5-30 MIN,78,7.7,3.7,6.0,5.6,true,true,10.0,0.4,3.7,6.2,5.4,5.3,4.8,7.7,6.0,0.7,6.6,MODERATE
